date,surface_pressure,temperature_2m,total_evaporation_sum,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1
16-01-2011,91021.31217,295.2049014,-0.002226692,3.00E-06,-1.65782547,0.398072044,0.26293246
17-01-2011,91013.05599,295.4823907,-0.002145257,1.71E-06,-1.371301651,0.142173052,0.261222204
18-01-2011,91007.20313,294.4903622,-0.002335111,4.26E-07,-2.26732254,-0.140960534,0.259488424
19-01-2011,90971.28467,294.210825,-0.00235502,2.14E-06,-2.286060969,0.031255881,0.258034388
20-01-2011,91044.61833,295.032746,-0.002367691,4.33E-07,-2.757737478,-0.612370412,0.256761551
21-01-2011,91081.49561,294.2699343,-0.002032805,4.22E-06,-2.951375961,-0.954289993,0.255854289
22-01-2011,91185.82194,293.5248559,-0.00179847,1.89E-05,-3.038182576,-0.213973721,0.255245209
23-01-2011,91266.62907,293.0814896,-0.001597704,4.22E-06,-3.391199112,-0.267392476,0.254774729
24-01-2011,91228.73649,292.4320437,-0.001726326,0,-3.189928293,-0.521661599,0.25402387
25-01-2011,91189.9069,292.3732497,-0.001572158,1.72E-06,-3.17778035,-0.019408822,0.253479004
26-01-2011,91272.3457,292.7890911,-0.001482812,1.45E-05,-3.161933978,0.184027195,0.2532444
27-01-2011,91270.43669,293.3882618,-0.001850637,4.90E-06,-2.944030126,-0.120209495,0.252969742
